"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified","NA."
"1",105814,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=105814","Scyliorhinus canicula","(Linnaeus, 1758)","accepted",NA,220,"Species",105814,"Scyliorhinus canicula","(Linnaeus, 1758)",105729,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Scyliorhinus canicula (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105814 on 2022-05-13","urn:lsid:marinespecies.org:taxname:105814",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"2",126417,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126417","Clupea harengus","Linnaeus, 1758","accepted",NA,220,"Species",126417,"Clupea harengus","Linnaeus, 1758",125716,"Animalia","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Froese, R. and D. Pauly. Editors. (2022). FishBase. Clupea harengus Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126417 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126417",1,1,0,0,NA,"exact","2017-07-20T07:00:16.353Z",NA
"3",150637,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=150637","Eutrigla gurnardus","(Linnaeus, 1758)","accepted",NA,220,"Species",150637,"Eutrigla gurnardus","(Linnaeus, 1758)",150636,"Animalia","Chordata","Actinopteri","Perciformes","Triglidae","Eutrigla","Froese, R. and D. Pauly. Editors. (2022). FishBase. Eutrigla gurnardus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=150637 on 2022-05-13","urn:lsid:marinespecies.org:taxname:150637",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"4",127140,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127140","Microstomus kitt","(Walbaum, 1792)","accepted",NA,220,"Species",127140,"Microstomus kitt","(Walbaum, 1792)",126118,"Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Microstomus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Microstomus kitt (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127140 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127140",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"5",150630,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=150630","Echiichthys vipera","(Cuvier, 1829)","accepted",NA,220,"Species",150630,"Echiichthys vipera","(Cuvier, 1829)",150629,"Animalia","Chordata","Actinopteri","Perciformes","Trachinidae","Echiichthys","Froese, R. and D. Pauly. Editors. (2022). FishBase. Echiichthys vipera (Cuvier, 1829). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=150630 on 2022-05-13","urn:lsid:marinespecies.org:taxname:150630",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"6",126792,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126792","Callionymus lyra","Linnaeus, 1758","accepted",NA,220,"Species",126792,"Callionymus lyra","Linnaeus, 1758",125930,"Animalia","Chordata","Actinopteri","Callionymiformes","Callionymidae","Callionymus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Callionymus lyra Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126792 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126792",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"7",126446,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126446","Trisopterus minutus","(Linnaeus, 1758)","accepted",NA,220,"Species",126446,"Trisopterus minutus","(Linnaeus, 1758)",125739,"Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Trisopterus minutus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126446 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126446",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"8",105883,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=105883","Raja clavata","Linnaeus, 1758","accepted",NA,220,"Species",105883,"Raja clavata","Linnaeus, 1758",105766,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Froese, R. and D. Pauly. Editors. (2022). FishBase. Raja clavata Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105883 on 2022-05-13","urn:lsid:marinespecies.org:taxname:105883",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"9",127126,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127126","Arnoglossus laterna","(Walbaum, 1792)","accepted",NA,220,"Species",127126,"Arnoglossus laterna","(Walbaum, 1792)",126109,"Animalia","Chordata","Actinopteri","Pleuronectiformes","Bothidae","Arnoglossus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Arnoglossus laterna (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127126 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127126",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"10",125911,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=125911","Hyperoplus","Günther, 1862","accepted",NA,180,"Genus",125911,"Hyperoplus","Günther, 1862",125516,"Animalia","Chordata","Actinopteri","Perciformes","Ammodytidae","Hyperoplus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Hyperoplus Günther, 1862. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125911 on 2022-05-13","urn:lsid:marinespecies.org:taxname:125911",1,1,0,0,NA,"exact","2014-11-21T13:09:37.943Z",NA
